title,revenue,release,prod_budget,genre,company
Avatar,11,12,6,Action,Ingenious Film Partners
Pirates of the Caribbean: At World's End,11,5,8,Adventure,Walt Disney Pictures
Spectre,10,10,6,Action,Columbia Pictures
The Dark Knight Rises,11,7,6,Action,Legendary Pictures
John Carter,4,3,6,Action,Walt Disney Pictures
Spider-Man 3,11,5,7,Fantasy,Columbia Pictures
Tangled,7,11,6,Animation,Walt Disney Pictures
Avengers: Age of Ultron,11,4,6,Action,Marvel Studios
Harry Potter and the Half-Blood Prince,11,7,6,Adventure,Warner Bros.
Batman v Superman: Dawn of Justice,9,3,6,Action,DC Comics
Superman Returns,5,6,7,Adventure,DC Comics
Quantum of Solace,7,10,5,Adventure,Eon Productions
Pirates of the Caribbean: Dead Man's Chest,11,6,5,Adventure,Walt Disney Pictures
The Lone Ranger,1,7,6,Action,Walt Disney Pictures
Man of Steel,7,6,5,Action,Legendary Pictures
The Chronicles of Narnia: Prince Caspian,5,5,6,Adventure,Walt Disney
The Avengers,11,4,5,Science Fiction,Paramount Pictures
Pirates of the Caribbean: On Stranger Tides,11,5,9,Adventure,Walt Disney Pictures
Men in Black 3,7,5,5,Action,Amblin Entertainment
The Hobbit: The Battle of the Five Armies,10,12,6,Action,WingNut Films
The Amazing Spider-Man,9,6,5,Action,Columbia Pictures
Robin Hood,4,5,5,Action,Imagine Entertainment
The Hobbit: The Desolation of Smaug,11,12,6,Adventure,WingNut Films
The Golden Compass,5,12,5,Adventure,New Line Cinema
King Kong,7,12,6,Adventure,WingNut Films
Titanic,11,11,7,Drama,Paramount Pictures
Captain America: Civil War,11,4,6,Adventure,Studio Babelsberg
Battleship,4,4,5,Thriller,Universal Pictures
Jurassic World,11,6,4,Action,Universal Studios
Skyfall,11,10,5,Action,Columbia Pictures
Spider-Man 2,11,6,6,Action,Columbia Pictures
Iron Man 3,11,4,5,Action,Marvel Studios
Alice in Wonderland,11,3,5,Family,Walt Disney Pictures
X-Men: The Last Stand,6,5,6,Adventure,Ingenious Film Partners
Monsters University,8,6,5,Animation,Walt Disney Pictures
Transformers: Revenge of the Fallen,10,6,4,Science Fiction,Paramount Pictures
Transformers: Age of Extinction,11,6,5,Science Fiction,Paramount Pictures
Oz: The Great and Powerful,6,3,5,Fantasy,Walt Disney Pictures
The Amazing Spider-Man 2,8,4,5,Action,Columbia Pictures
TRON: Legacy,5,12,4,Adventure,Walt Disney Pictures
Cars 2,7,6,5,Animation,Walt Disney Pictures
Green Lantern,3,6,5,Adventure,De Line Pictures
Toy Story 3,11,6,5,Animation,Walt Disney Pictures
Terminator Salvation,5,5,5,Action,Columbia Pictures
Furious 7,11,4,4,Action,Universal Pictures
World War Z,6,6,5,Action,Paramount Pictures
X-Men: Days of Future Past,8,5,6,Action,Twentieth Century Fox Film Corporation
Star Trek Into Darkness,5,5,4,Action,Paramount Pictures
Jack the Giant Slayer,3,2,5,Action,New Line Cinema
The Great Gatsby,4,5,3,Drama,Village Roadshow Pictures
Prince of Persia: The Sands of Time,4,5,4,Adventure,Walt Disney Pictures
Pacific Rim,5,7,4,Action,Legendary Pictures
Transformers: Dark of the Moon,11,6,5,Action,Paramount Pictures
Indiana Jones and the Kingdom of the Crystal Skull,9,5,5,Adventure,Lucasfilm
The Good Dinosaur,4,11,4,Adventure,Walt Disney Pictures
Brave,6,6,4,Animation,Walt Disney Pictures
Star Trek Beyond,4,7,4,Action,Paramount Pictures
WALL·E,6,6,5,Animation,Walt Disney Pictures
Rush Hour 3,4,8,4,Action,New Line Cinema
2012,9,10,5,Action,Columbia Pictures
A Christmas Carol,4,11,5,Animation,Walt Disney
Jupiter Ascending,2,2,4,Science Fiction,Village Roadshow Pictures
The Legend of Tarzan,4,6,4,Action,Village Roadshow Pictures
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",10,12,5,Adventure,Walt Disney
X-Men: Apocalypse,6,5,4,Science Fiction,Twentieth Century Fox Film Corporation
The Dark Knight,11,7,5,Drama,DC Comics
Up,9,5,4,Animation,Pixar Animation Studios
Monsters vs Aliens,5,3,4,Animation,DreamWorks Animation
Iron Man,7,4,4,Action,Marvel Studios
Hugo,3,11,4,Adventure,Paramount Pictures
Wild Wild West,4,6,5,Action,"Todman, Simon, LeMasters Productions"
The Mummy: Tomb of the Dragon Emperor,5,7,4,Adventure,Universal Pictures
Suicide Squad,8,8,4,Action,DC Comics
Evan Almighty,3,6,5,Fantasy,Columbia Pictures
Edge of Tomorrow,4,5,4,Action,Village Roadshow Pictures
Waterworld,5,7,6,Adventure,Universal Pictures
G.I. Joe: The Rise of Cobra,4,8,4,Adventure,Paramount Pictures
Inside Out,9,6,4,Drama,Walt Disney Pictures
The Jungle Book,10,4,4,Family,Walt Disney Pictures
Iron Man 2,7,4,5,Adventure,Marvel Studios
Snow White and the Huntsman,5,5,4,Adventure,Universal Pictures
Maleficent,8,5,4,Fantasy,Walt Disney Pictures
Dawn of the Planet of the Apes,8,6,4,Science Fiction,Ingenious Media
The Lovers,0,2,1,Action,Corsan
47 Ronin,2,12,4,Drama,Mid Atlantic Films
Captain America: The Winter Soldier,8,3,4,Action,Marvel Studios
Shrek Forever After,9,5,4,Comedy,DreamWorks Animation
Tomorrowland,3,5,4,Adventure,Walt Disney Pictures
Big Hero 6,7,10,4,Adventure,Walt Disney Pictures
Wreck-It Ralph,6,11,4,Family,Walt Disney Animation Studios
The Polar Express,4,11,5,Adventure,Golden Mean
Independence Day: Resurgence,4,6,4,Action,Twentieth Century Fox Film Corporation
How to Train Your Dragon,6,3,4,Fantasy,DreamWorks Animation
Terminator 3: Rise of the Machines,6,7,6,Action,Columbia Pictures
Guardians of the Galaxy,8,7,4,Action,Marvel Studios
Interstellar,7,11,4,Adventure,Paramount Pictures
Inception,10,7,4,Action,Legendary Pictures
Shin Godzilla,1,7,1,Action,Cine Bazar
The Hobbit: An Unexpected Journey,11,11,6,Adventure,WingNut Films
The Fast and the Furious,3,6,2,Action,Universal Pictures
The Curious Case of Benjamin Button,4,11,4,Fantasy,Paramount Pictures
X-Men: First Class,4,5,4,Action,Ingenious Film Partners
The Hunger Games: Mockingjay - Part 2,7,11,4,Action,Studio Babelsberg
The Sorcerer's Apprentice,3,7,4,Fantasy,Walt Disney Pictures
Poseidon,3,5,4,Adventure,Virtual Studios
Alice Through the Looking Glass,4,5,4,Fantasy,Walt Disney Pictures
Shrek the Third,10,5,4,Fantasy,DreamWorks SKG
Warcraft,5,5,4,Action,Universal Pictures
Terminator Genisys,5,6,4,Science Fiction,Paramount Pictures
The Chronicles of Narnia: The Voyage of the Dawn Treader,5,8,4,Adventure,Dune Entertainment
Pearl Harbor,7,5,4,History,Jerry Bruckheimer Films
Transformers,9,6,4,Adventure,Paramount Pictures
Alexander,3,11,5,War,France 3 Cinéma
Harry Potter and the Order of the Phoenix,11,6,4,Adventure,Warner Bros.
Harry Potter and the Goblet of Fire,11,11,4,Adventure,Patalex IV Productions Limited
Hancock,8,7,4,Fantasy,Columbia Pictures
I Am Legend,7,12,4,Drama,Village Roadshow Pictures
Charlie and the Chocolate Factory,6,7,4,Adventure,Village Roadshow Pictures
Ratatouille,8,6,4,Animation,Walt Disney Pictures
Batman Begins,5,6,4,Action,DC Comics
Madagascar: Escape 2 Africa,7,10,4,Family,DreamWorks Animation
Night at the Museum: Battle of the Smithsonian,5,5,4,Adventure,Twentieth Century Fox Film Corporation
X-Men Origins: Wolverine,5,4,4,Adventure,Ingenious Film Partners
The Matrix Revolutions,6,11,4,Adventure,Village Roadshow Pictures
Frozen,11,11,4,Animation,Walt Disney Pictures
The Matrix Reloaded,10,5,4,Adventure,Village Roadshow Pictures
Thor: The Dark World,7,10,4,Action,Marvel Studios
Mad Max: Fury Road,4,5,4,Action,Village Roadshow Pictures
Angels & Demons,5,5,4,Thriller,Columbia Pictures
Thor,5,4,4,Adventure,Marvel Studios
Bolt,4,11,4,Animation,Walt Disney Animation Studios
G-Force,4,7,4,Fantasy,Walt Disney Pictures
Wrath of the Titans,4,3,4,Adventure,Legendary Pictures
Dark Shadows,3,5,4,Comedy,Village Roadshow Pictures
Mission: Impossible - Rogue Nation,8,7,4,Action,Paramount Pictures
The Wolfman,0,2,4,Drama,Universal Pictures
Bee Movie,4,10,4,Family,Pacific Data Images (PDI)
Kung Fu Panda 2,8,5,4,Animation,DreamWorks Animation
The Last Airbender,4,6,4,Action,Paramount Pictures
Mission: Impossible III,5,5,4,Adventure,Paramount Pictures
White House Down,3,6,4,Action,Columbia Pictures
Mars Needs Moms,1,3,4,Adventure,Walt Disney Animation Studios
Flushed Away,1,10,4,Adventure,Aardman Animations
Pan,2,9,4,Adventure,Warner Bros.
Mr. Peabody & Sherman,3,2,3,Animation,Pacific Data Images (PDI)
Troy,7,5,5,Adventure,Plan B Entertainment
Madagascar 3: Europe's Most Wanted,8,6,4,Animation,DreamWorks Animation
Die Another Day,6,11,4,Adventure,Eon Productions
Ghostbusters,3,7,3,Action,Columbia Pictures
Armageddon,9,7,5,Action,Jerry Bruckheimer Films
Men in Black II,7,7,4,Action,Columbia Pictures
Beowulf,3,11,2,Adventure,Paramount Pictures
Kung Fu Panda 3,6,1,3,Action,Twentieth Century Fox Film Corporation
Mission: Impossible - Ghost Protocol,8,12,4,Action,Paramount Pictures
Rise of the Guardians,4,11,4,Fantasy,DreamWorks Animation
Fun with Dick and Jane,3,12,3,Comedy,Imagine Entertainment
The Last Samurai,7,12,4,Drama,Cruise/Wagner Productions
Exodus: Gods and Kings,3,12,3,Adventure,Scott Free Productions
Star Trek,5,5,4,Science Fiction,Paramount Pictures
Spider-Man,11,5,4,Fantasy,Columbia Pictures
How to Train Your Dragon 2,7,6,3,Fantasy,DreamWorks Animation
Gods of Egypt,2,2,3,Fantasy,Summit Entertainment
Stealth,1,7,4,Action,Laura Ziskin Productions
Watchmen,3,3,3,Action,Paramount Pictures
Lethal Weapon 4,5,7,5,Action,Silver Pictures
Hulk,4,6,4,Drama,Universal Pictures
G.I. Joe: Retaliation,4,3,3,Adventure,Paramount Pictures
Sahara,2,4,4,Action,Paramount Pictures
Final Fantasy: The Spirits Within,2,7,4,Adventure,Columbia Pictures
Captain America: The First Avenger,5,7,4,Action,Marvel Studios
The World Is Not Enough,6,11,4,Adventure,Eon Productions
Master and Commander: The Far Side of the World,3,11,4,Adventure,Universal Pictures
The Twilight Saga: Breaking Dawn - Part 2,9,11,3,Adventure,Summit Entertainment
Happy Feet Two,2,11,3,Animation,Village Roadshow Pictures
The Incredible Hulk,2,6,4,Science Fiction,Universal Pictures
The BFG,2,6,3,Adventure,Walt Disney Pictures
The Revenant,6,12,3,Western,Regency Enterprises
Turbo,3,7,3,Animation,DreamWorks Animation
Rango,3,3,3,Animation,Paramount Pictures
Penguins of Madagascar,4,11,3,Family,DreamWorks Animation
The Bourne Ultimatum,6,8,2,Action,Universal Pictures
Kung Fu Panda,8,6,3,Adventure,DreamWorks Animation
Ant-Man,6,7,3,Science Fiction,Marvel Studios
The Hunger Games: Catching Fire,9,11,3,Adventure,Lionsgate
Home,4,3,3,Fantasy,Twentieth Century Fox Film Corporation
War of the Worlds,8,6,4,Adventure,Paramount Pictures
Bad Boys II,4,7,4,Adventure,Columbia Pictures Corporation
Puss in Boots,7,10,3,Action,DreamWorks
Salt,4,7,3,Action,Columbia Pictures
Noah,4,3,3,Drama,Paramount Pictures
The Adventures of Tintin,5,10,3,Adventure,Paramount Pictures
Harry Potter and the Prisoner of Azkaban,11,5,4,Adventure,1492 Pictures
Australia,1,11,3,Drama,Bazmark Films
After Earth,3,5,3,Science Fiction,Columbia Pictures
Dinosaur,6,5,4,Animation,Walt Disney Pictures
Night at the Museum: Secret of the Tomb,4,12,3,Adventure,Twentieth Century Fox Film Corporation
Megamind,4,10,3,Animation,DreamWorks Animation
Harry Potter and the Philosopher's Stone,11,11,4,Adventure,1492 Pictures
R.I.P.D.,1,7,3,Fantasy,Universal Pictures
Pirates of the Caribbean: The Curse of the Black Pearl,9,7,4,Adventure,Walt Disney Pictures
The Hunger Games: Mockingjay - Part 1,8,11,3,Science Fiction,Lionsgate
The Da Vinci Code,10,5,4,Thriller,Columbia Pictures
Rio 2,6,3,3,Animation,Blue Sky Studios
X2,6,4,3,Adventure,Twentieth Century Fox Film Corporation
Fast Five,7,4,3,Action,Universal Pictures
Sherlock Holmes: A Game of Shadows,4,11,3,Adventure,Village Roadshow Pictures
Clash of the Titans,3,4,3,Adventure,The Zanuck Company
Total Recall,5,6,3,Action,TriStar Pictures
The 13th Warrior,1,8,5,Adventure,Touchstone Pictures
The Bourne Legacy,3,8,3,Action,Universal Pictures
Batman & Robin,4,6,4,Action,PolyGram Filmed Entertainment
How the Grinch Stole Christmas,5,11,4,Family,Imagine Entertainment
The Day After Tomorrow,8,5,4,Action,Lions Gate Films
Mission: Impossible II,8,5,4,Adventure,Paramount Pictures
The Perfect Storm,5,3,4,Drama,Warner Bros.
Fantastic 4: Rise of the Silver Surfer,4,6,4,Adventure,Ingenious Film Partners
Life of Pi,7,11,3,Adventure,Ingenious Film Partners
Ghost Rider,3,2,3,Thriller,Columbia Pictures Corporation
Jason Bourne,5,7,3,Action,The Kennedy/Marshall Company
Charlie's Angels: Full Throttle,4,6,4,Action,Columbia Pictures
Prometheus,5,5,3,Science Fiction,Twentieth Century Fox Film Corporation
Stuart Little 2,3,7,4,Family,Columbia Pictures
Elysium,4,8,3,Science Fiction,TriStar Pictures
The Chronicles of Riddick,2,6,3,Action,One Race Films
RoboCop,3,1,3,Action,Columbia Pictures
Speed Racer,2,5,3,Action,Village Roadshow Pictures
How Do You Know,1,12,3,Comedy,Columbia Pictures
Knight and Day,3,6,3,Action,Tree Line Films
Oblivion,4,4,3,Action,Universal Pictures
Star Wars: Episode III - Revenge of the Sith,11,5,3,Science Fiction,Lucasfilm
Star Wars: Episode II - Attack of the Clones,9,5,4,Adventure,Lucasfilm
"Monsters, Inc.",8,11,4,Animation,Walt Disney Pictures
The Wolverine,5,7,3,Action,Twentieth Century Fox Film Corporation
Star Wars: Episode I - The Phantom Menace,11,5,4,Adventure,Lucasfilm
The Croods,7,3,3,Adventure,DreamWorks Animation
Asterix at the Olympic Games,2,1,3,Fantasy,Constantin Film
Windtalkers,2,6,4,Drama,Lion Rock Productions
The Huntsman: Winter's War,2,4,3,Action,Universal Pictures
Teenage Mutant Ninja Turtles,5,8,3,Science Fiction,Paramount Pictures
Gravity,8,9,3,Science Fiction,Warner Bros.
Dante's Peak,3,2,4,Action,Universal Pictures
Teenage Mutant Ninja Turtles: Out of the Shadows,3,6,3,Fantasy,Paramount Pictures
Fantastic Four,2,8,3,Action,Twentieth Century Fox Film Corporation
Night at the Museum,7,10,3,Action,Ingenious Film Partners
San Andreas,5,5,3,Action,New Line Cinema
Tomorrow Never Dies,6,12,4,Adventure,Eon Productions
The Patriot,4,6,4,Drama,Centropolis Entertainment
Ocean's Twelve,5,12,3,Thriller,Village Roadshow Pictures
Mr. & Mrs. Smith,6,6,3,Action,Weed Road Pictures
Insurgent,4,3,3,Adventure,Summit Entertainment
The Aviator,2,12,4,Drama,Miramax Films
Gulliver's Travels,3,12,3,Comedy,Twentieth Century Fox Film Corporation
The Green Hornet,3,1,3,Action,Original Film
300: Rise of an Empire,4,3,3,Action,Legendary Pictures
The Smurfs,7,7,3,Animation,Columbia Pictures
Home on the Range,2,4,3,Animation,Walt Disney Pictures
Allegiant,2,3,3,Adventure,Summit Entertainment
Real Steel,4,9,3,Action,DreamWorks SKG
The Smurfs 2,4,7,3,Fantasy,Columbia Pictures
Speed 2: Cruise Control,3,6,5,Action,Twentieth Century Fox Film Corporation
Ender's Game,2,10,3,Science Fiction,Summit Entertainment
Live Free or Die Hard,5,6,3,Action,Ingenious Film Partners
The Lord of the Rings: The Fellowship of the Ring,11,12,3,Adventure,WingNut Films
Around the World in 80 Days,1,6,3,Action,Studio Babelsberg
Ali,2,12,3,Drama,Columbia Pictures Corporation
The Cat in the Hat,0,11,0,Comedy,Imagine Entertainment
"I, Robot",5,7,4,Action,Twentieth Century Fox Film Corporation
Kingdom of Heaven,3,5,4,Drama,Studio Babelsberg
Stuart Little,5,12,4,Animation,Columbia Pictures Corporation
The Princess and the Frog,4,12,3,Romance,Walt Disney Pictures
The Martian,7,9,3,Drama,Twentieth Century Fox Film Corporation
The Island,3,7,4,Action,DreamWorks SKG
Town & Country,1,4,3,Comedy,New Line Cinema
Gone in Sixty Seconds,4,6,3,Action,Jerry Bruckheimer Films
Gladiator,7,5,3,Action,DreamWorks SKG
Minority Report,5,6,3,Action,DreamWorks SKG
Harry Potter and the Chamber of Secrets,11,11,3,Adventure,1492 Pictures
Casino Royale,8,11,4,Adventure,Eon Productions
Planet of the Apes,6,7,3,Thriller,Twentieth Century Fox Film Corporation
Terminator 2: Judgment Day,10,7,4,Action,Lightstorm Entertainment
Public Enemies,3,7,2,History,Universal Pictures
American Gangster,4,11,3,Drama,Imagine Entertainment
True Lies,7,7,4,Action,Twentieth Century Fox Film Corporation
The Taking of Pelham 1 2 3,2,6,3,Thriller,Columbia Pictures
Little Fockers,4,12,3,Comedy,Paramount Pictures
The Other Guys,2,8,3,Action,Columbia Pictures
Eraser,4,6,4,Action,Kopelson Entertainment
Django Unchained,5,12,3,Drama,Columbia Pictures
The Hunchback of Notre Dame,2,6,4,Drama,Walt Disney Pictures
The Emperor's New Groove,3,12,3,Adventure,Walt Disney Pictures
The Expendables 2,4,8,3,Action,Nu Image Films
National Treasure,5,11,3,Adventure,Walt Disney Pictures
Eragon,4,12,3,Fantasy,Ingenious Film Partners
Where the Wild Things Are,2,10,3,Family,Village Roadshow Pictures
Epic,3,5,3,Animation,Blue Sky Studios
The Tourist,4,12,3,Action,Columbia Pictures
End of Days,4,11,3,Action,Beacon Communications
Blood Diamond,3,12,3,Drama,Bedford Falls Productions
The Wolf of Wall Street,5,12,3,Crime,Paramount Pictures
Batman Forever,6,5,4,Action,Warner Bros.
Starship Troopers,2,11,4,Adventure,TriStar Pictures
Cloud Atlas,2,10,3,Drama,Anarchos Productions
Legend of the Guardians: The Owls of Ga'Hoole,2,7,2,Animation,Village Roadshow Pictures
Catwoman,2,7,3,Action,Village Roadshow Pictures
Hercules,3,7,3,Action,Paramount Pictures
Treasure Planet,2,11,4,Adventure,Walt Disney Pictures
Land of the Lost,1,6,3,Adventure,Universal Pictures
The Expendables 3,3,8,2,Action,Davis-Films
Point Break,2,12,3,Action,Studio Babelsberg
Son of the Mask,0,2,3,Fantasy,New Line Cinema
In the Heart of the Sea,1,11,3,Thriller,Imagine Entertainment
The Adventures of Pluto Nash,1,8,3,Action,Village Roadshow Pictures
Green Zone,2,3,3,War,Universal Pictures
The Peanuts Movie,3,11,3,Animation,Blue Sky Studios
The Spanish Prisoner,1,9,1,Crime,Jean Doumanian Productions
The Mummy Returns,6,4,3,Adventure,Universal Pictures
Gangs of New York,3,12,3,Drama,Miramax Films
The Flowers of War,2,12,3,Drama,Beijing New Picture Film Co. Ltd.
Surf's Up,2,6,3,Animation,Columbia Pictures
The Stepford Wives,2,6,3,Action,Paramount Pictures
Black Hawk Down,3,12,3,Action,Jerry Bruckheimer Films
The Campaign,2,8,0,Comedy,Everyman Pictures
The Fifth Element,5,5,3,Adventure,Columbia Pictures
Sex and the City 2,4,5,3,Comedy,New Line Cinema
The Road to El Dorado,2,3,3,Adventure,DreamWorks SKG
Ice Age: Continental Drift,10,6,3,Animation,Blue Sky Studios
Cinderella,6,3,2,Romance,Walt Disney Pictures
The Lovely Bones,2,12,2,Fantasy,WingNut Films
Finding Nemo,11,5,3,Animation,Pixar Animation Studios
The Lord of the Rings: The Return of the King,11,12,3,Adventure,WingNut Films
The Lord of the Rings: The Two Towers,11,12,3,Adventure,WingNut Films
Seventh Son,2,12,2,Adventure,Legendary Pictures
Lara Croft: Tomb Raider,4,6,4,Adventure,Paramount Pictures
Transcendence,2,4,3,Thriller,Alcon Entertainment
Jurassic Park III,6,7,3,Adventure,Universal Studios
Rise of the Planet of the Apes,6,8,3,Thriller,Ingenious Film Partners
The Spiderwick Chronicles,2,2,3,Adventure,Paramount Pictures
A Good Day to Die Hard,4,2,2,Action,Ingenious Media
The Alamo,1,4,4,Western,Imagine Entertainment
The Incredibles,9,11,3,Action,Walt Disney Pictures
Cutthroat Island,1,12,4,Action,Le Studio Canal+
Percy Jackson & the Olympians: The Lightning Thief,3,2,3,Adventure,Ingenious Film Partners
Men in Black,9,7,3,Action,Amblin Entertainment
Toy Story 2,8,10,3,Animation,Pixar Animation Studios
Unstoppable,2,11,3,Action,Twentieth Century Fox Film Corporation
Rush Hour 2,5,8,3,Action,New Line Cinema
What Lies Beneath,3,7,3,Drama,DreamWorks SKG
Cloudy with a Chance of Meatballs,3,9,3,Animation,Columbia Pictures
Ice Age: Dawn of the Dinosaurs,11,6,3,Animation,Blue Sky Studios
The Secret Life of Walter Mitty,2,12,2,Adventure,New Line Cinema
Charlie's Angels,4,11,3,Action,Columbia Pictures
The Departed,4,10,3,Drama,Vertigo Entertainment
Mulan,5,6,3,Animation,Walt Disney Pictures
Tropic Thunder,3,8,3,Action,DreamWorks SKG
The Girl with the Dragon Tattoo,3,12,2,Thriller,Columbia Pictures
Die Hard: With a Vengeance,6,5,3,Action,Twentieth Century Fox Film Corporation
Sherlock Holmes,6,12,3,Action,Village Roadshow Pictures
Ben-Hur,1,8,3,Drama,Paramount Pictures
Atlantis: The Lost Empire,3,6,4,Animation,Walt Disney Pictures
Alvin and the Chipmunks: The Road Chip,3,12,0,Adventure,Regency Enterprises
Valkyrie,3,12,2,Drama,United Artists
You Don't Mess with the Zohan,3,6,3,Comedy,Columbia Pictures
Pixels,3,7,2,Action,Columbia Pictures
A.I. Artificial Intelligence,4,6,3,Drama,DreamWorks SKG
The Haunted Mansion,3,11,3,Thriller,Walt Disney Pictures
Contact,3,7,3,Drama,Warner Bros.
Hollow Man,3,8,3,Action,Columbia Pictures Corporation
The Interpreter,3,4,3,Crime,Universal Pictures
Percy Jackson: Sea of Monsters,2,8,2,Adventure,1492 Pictures
Lara Croft Tomb Raider: The Cradle of Life,3,7,3,Action,Paramount Pictures
Now You See Me 2,4,6,2,Action,Summit Entertainment
The Saint,2,4,3,Thriller,Paramount Pictures
Spy Game,2,11,3,Action,Universal Pictures
Mission to Mars,1,3,3,Science Fiction,Spyglass Entertainment
Rio,6,4,2,Animation,Blue Sky Studios
Bicentennial Man,2,12,3,Comedy,Laurence Mark Productions
Volcano,0,4,3,Science Fiction,Twentieth Century Fox Film Corporation
The Devil's Own,3,3,3,Crime,Columbia Pictures
K-19: The Widowmaker,1,7,3,Drama,Paramount Pictures
Conan the Barbarian,3,4,2,Adventure,Universal Pictures
Cinderella Man,2,6,3,Romance,Miramax Films
The Nutcracker: The Untold Story,1,11,3,Fantasy,Vnesheconombank
Seabiscuit,2,7,3,Drama,Universal Pictures
Twister,8,5,3,Action,Universal Pictures
Cast Away,7,12,3,Adventure,DreamWorks SKG
Happy Feet,5,11,3,Animation,Kennedy Miller Productions
The Bourne Supremacy,4,7,2,Action,Universal Pictures
Air Force One,5,7,3,Action,Columbia Pictures Corporation
Ocean's Eleven,7,12,3,Thriller,Village Roadshow Pictures
The Three Musketeers,2,8,2,Adventure,Impact Pictures
Hotel Transylvania,4,9,2,Animation,Columbia Pictures
Enchanted,5,11,3,Comedy,Walt Disney Pictures
Safe House,3,2,2,Action,Universal Pictures
