company,release,prod_budget,revenue,genre,title
Other,12,3,5,Action,Avatar
Walt Disney Pictures,5,3,5,Adventure,Pirates of the Caribbean: At World's End
Columbia Pictures,10,3,4,Action,Spectre
Other,7,3,5,Action,The Dark Knight Rises
Walt Disney Pictures,3,3,2,Action,John Carter
Columbia Pictures,5,3,5,Fantasy,Spider-Man 3
Walt Disney Pictures,11,3,3,Animation,Tangled
Other,4,3,5,Action,Avengers: Age of Ultron
Warner Bros.,7,3,5,Adventure,Harry Potter and the Half-Blood Prince
Other,3,3,4,Action,Batman v Superman: Dawn of Justice
Other,6,3,2,Adventure,Superman Returns
Other,10,2,3,Adventure,Quantum of Solace
Walt Disney Pictures,6,2,5,Adventure,Pirates of the Caribbean: Dead Man's Chest
Walt Disney Pictures,7,3,1,Action,The Lone Ranger
Other,6,2,3,Action,Man of Steel
Other,5,3,2,Adventure,The Chronicles of Narnia: Prince Caspian
Paramount Pictures,4,2,5,Science Fiction,The Avengers
Walt Disney Pictures,5,4,5,Adventure,Pirates of the Caribbean: On Stranger Tides
Other,5,2,3,Action,Men in Black 3
Other,12,3,4,Action,The Hobbit: The Battle of the Five Armies
Columbia Pictures,6,2,4,Action,The Amazing Spider-Man
Other,5,2,2,Action,Robin Hood
Other,12,3,5,Adventure,The Hobbit: The Desolation of Smaug
New Line Cinema,12,2,2,Adventure,The Golden Compass
Other,12,3,3,Adventure,King Kong
Paramount Pictures,11,3,5,Drama,Titanic
Other,4,3,5,Adventure,Captain America: Civil War
Universal Pictures,4,2,2,Thriller,Battleship
Other,6,2,5,Action,Jurassic World
Columbia Pictures,10,2,5,Action,Skyfall
Columbia Pictures,6,3,5,Action,Spider-Man 2
Other,4,2,5,Action,Iron Man 3
Walt Disney Pictures,3,2,5,Family,Alice in Wonderland
Other,5,3,3,Adventure,X-Men: The Last Stand
Walt Disney Pictures,6,2,4,Animation,Monsters University
Paramount Pictures,6,2,4,Science Fiction,Transformers: Revenge of the Fallen
Paramount Pictures,6,2,5,Science Fiction,Transformers: Age of Extinction
Walt Disney Pictures,3,2,3,Fantasy,Oz: The Great and Powerful
Columbia Pictures,4,2,3,Action,The Amazing Spider-Man 2
Walt Disney Pictures,12,2,2,Adventure,TRON: Legacy
Walt Disney Pictures,6,2,3,Animation,Cars 2
Other,6,2,1,Adventure,Green Lantern
Walt Disney Pictures,6,2,5,Animation,Toy Story 3
Columbia Pictures,5,2,2,Action,Terminator Salvation
Universal Pictures,4,2,5,Action,Furious 7
Paramount Pictures,6,2,3,Action,World War Z
Twentieth Century Fox Film Corporation,5,3,4,Action,X-Men: Days of Future Past
Paramount Pictures,5,2,2,Action,Star Trek Into Darkness
New Line Cinema,2,2,1,Action,Jack the Giant Slayer
Village Roadshow Pictures,5,1,2,Drama,The Great Gatsby
Walt Disney Pictures,5,2,2,Adventure,Prince of Persia: The Sands of Time
Other,7,2,2,Action,Pacific Rim
Paramount Pictures,6,2,5,Action,Transformers: Dark of the Moon
Other,5,2,4,Adventure,Indiana Jones and the Kingdom of the Crystal Skull
Walt Disney Pictures,11,2,2,Adventure,The Good Dinosaur
Walt Disney Pictures,6,2,3,Animation,Brave
Paramount Pictures,7,2,2,Action,Star Trek Beyond
Walt Disney Pictures,6,2,3,Animation,WALL·E
New Line Cinema,8,2,2,Action,Rush Hour 3
Columbia Pictures,10,2,4,Action,2012
Other,11,2,2,Animation,A Christmas Carol
Village Roadshow Pictures,2,2,1,Science Fiction,Jupiter Ascending
Village Roadshow Pictures,6,2,2,Action,The Legend of Tarzan
Other,12,2,4,Adventure,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
Twentieth Century Fox Film Corporation,5,2,3,Science Fiction,X-Men: Apocalypse
Other,7,2,5,Drama,The Dark Knight
Other,5,2,4,Animation,Up
Other,3,2,2,Animation,Monsters vs Aliens
Other,4,2,3,Action,Iron Man
Paramount Pictures,11,2,1,Adventure,Hugo
Other,6,2,2,Action,Wild Wild West
Universal Pictures,7,2,2,Adventure,The Mummy: Tomb of the Dragon Emperor
Other,8,2,4,Action,Suicide Squad
Columbia Pictures,6,2,1,Fantasy,Evan Almighty
Village Roadshow Pictures,5,2,2,Action,Edge of Tomorrow
Universal Pictures,7,3,2,Adventure,Waterworld
Paramount Pictures,8,2,2,Adventure,G.I. Joe: The Rise of Cobra
Walt Disney Pictures,6,2,4,Drama,Inside Out
Walt Disney Pictures,4,2,4,Family,The Jungle Book
Other,4,2,3,Adventure,Iron Man 2
Universal Pictures,5,2,2,Adventure,Snow White and the Huntsman
Walt Disney Pictures,5,2,4,Fantasy,Maleficent
Other,6,2,3,Science Fiction,Dawn of the Planet of the Apes
Other,2,1,0,Action,The Lovers
Other,12,2,1,Drama,47 Ronin
Other,3,2,3,Action,Captain America: The Winter Soldier
Other,5,2,4,Comedy,Shrek Forever After
Walt Disney Pictures,5,2,1,Adventure,Tomorrowland
Walt Disney Pictures,10,2,3,Adventure,Big Hero 6
Other,11,2,3,Family,Wreck-It Ralph
Other,11,2,2,Adventure,The Polar Express
Twentieth Century Fox Film Corporation,6,2,2,Action,Independence Day: Resurgence
Other,3,2,3,Fantasy,How to Train Your Dragon
Columbia Pictures,7,3,3,Action,Terminator 3: Rise of the Machines
Other,7,2,4,Action,Guardians of the Galaxy
Paramount Pictures,11,2,3,Adventure,Interstellar
Other,7,2,4,Action,Inception
Other,7,1,1,Action,Shin Godzilla
Other,11,3,5,Adventure,The Hobbit: An Unexpected Journey
Universal Pictures,6,1,2,Action,The Fast and the Furious
Paramount Pictures,11,2,2,Fantasy,The Curious Case of Benjamin Button
Other,5,2,2,Action,X-Men: First Class
Other,11,2,3,Action,The Hunger Games: Mockingjay - Part 2
Walt Disney Pictures,7,2,1,Fantasy,The Sorcerer's Apprentice
Other,5,2,1,Adventure,Poseidon
Walt Disney Pictures,5,2,2,Fantasy,Alice Through the Looking Glass
DreamWorks SKG,5,2,4,Fantasy,Shrek the Third
Universal Pictures,5,2,2,Action,Warcraft
Paramount Pictures,6,2,2,Science Fiction,Terminator Genisys
Other,8,2,2,Adventure,The Chronicles of Narnia: The Voyage of the Dawn Treader
Other,5,2,3,History,Pearl Harbor
Paramount Pictures,6,2,4,Adventure,Transformers
Other,11,2,1,War,Alexander
Warner Bros.,6,2,5,Adventure,Harry Potter and the Order of the Phoenix
Other,11,2,5,Adventure,Harry Potter and the Goblet of Fire
Columbia Pictures,7,2,3,Fantasy,Hancock
Village Roadshow Pictures,12,2,3,Drama,I Am Legend
Village Roadshow Pictures,7,2,3,Adventure,Charlie and the Chocolate Factory
Walt Disney Pictures,6,2,3,Animation,Ratatouille
Other,6,2,2,Action,Batman Begins
Other,10,2,3,Family,Madagascar: Escape 2 Africa
Twentieth Century Fox Film Corporation,5,2,2,Adventure,Night at the Museum: Battle of the Smithsonian
Other,4,2,2,Adventure,X-Men Origins: Wolverine
Village Roadshow Pictures,11,2,3,Adventure,The Matrix Revolutions
Walt Disney Pictures,11,2,5,Animation,Frozen
Village Roadshow Pictures,5,2,4,Adventure,The Matrix Reloaded
Other,10,2,3,Action,Thor: The Dark World
Village Roadshow Pictures,5,2,2,Action,Mad Max: Fury Road
Columbia Pictures,5,2,2,Thriller,Angels & Demons
Other,4,2,2,Adventure,Thor
Other,11,2,2,Animation,Bolt
Walt Disney Pictures,7,2,2,Fantasy,G-Force
Other,3,2,2,Adventure,Wrath of the Titans
Village Roadshow Pictures,5,2,2,Comedy,Dark Shadows
Paramount Pictures,7,2,3,Action,Mission: Impossible - Rogue Nation
Universal Pictures,2,2,0,Drama,The Wolfman
Other,10,2,2,Family,Bee Movie
Other,5,2,3,Animation,Kung Fu Panda 2
Paramount Pictures,6,2,2,Action,The Last Airbender
Paramount Pictures,5,2,2,Adventure,Mission: Impossible III
Columbia Pictures,6,2,1,Action,White House Down
Other,3,2,1,Adventure,Mars Needs Moms
Other,10,2,1,Adventure,Flushed Away
Warner Bros.,9,2,1,Adventure,Pan
Other,2,2,2,Animation,Mr. Peabody & Sherman
Other,5,2,3,Adventure,Troy
Other,6,2,4,Animation,Madagascar 3: Europe's Most Wanted
Other,11,2,3,Adventure,Die Another Day
Columbia Pictures,7,2,1,Action,Ghostbusters
Other,7,2,4,Action,Armageddon
Columbia Pictures,7,2,3,Action,Men in Black II
Paramount Pictures,11,1,1,Adventure,Beowulf
Twentieth Century Fox Film Corporation,1,2,3,Action,Kung Fu Panda 3
Paramount Pictures,12,2,4,Action,Mission: Impossible - Ghost Protocol
Other,11,2,2,Fantasy,Rise of the Guardians
Other,12,2,2,Comedy,Fun with Dick and Jane
Other,12,2,3,Drama,The Last Samurai
Other,12,2,2,Adventure,Exodus: Gods and Kings
Paramount Pictures,5,2,2,Science Fiction,Star Trek
Columbia Pictures,5,2,5,Fantasy,Spider-Man
Other,6,2,3,Fantasy,How to Train Your Dragon 2
Summit Entertainment,2,2,1,Fantasy,Gods of Egypt
Other,7,2,1,Action,Stealth
Paramount Pictures,3,2,1,Action,Watchmen
Other,7,2,2,Action,Lethal Weapon 4
Universal Pictures,6,2,2,Drama,Hulk
Paramount Pictures,3,2,2,Adventure,G.I. Joe: Retaliation
Paramount Pictures,4,2,1,Action,Sahara
Columbia Pictures,7,2,1,Adventure,Final Fantasy: The Spirits Within
Other,7,2,2,Action,Captain America: The First Avenger
Other,11,2,3,Adventure,The World Is Not Enough
Universal Pictures,11,2,2,Adventure,Master and Commander: The Far Side of the World
Summit Entertainment,11,2,4,Adventure,The Twilight Saga: Breaking Dawn - Part 2
Village Roadshow Pictures,11,2,1,Animation,Happy Feet Two
Universal Pictures,6,2,1,Science Fiction,The Incredible Hulk
Walt Disney Pictures,6,2,1,Adventure,The BFG
Regency Enterprises,12,2,3,Western,The Revenant
Other,7,2,2,Animation,Turbo
Paramount Pictures,3,2,2,Animation,Rango
Other,11,2,2,Family,Penguins of Madagascar
Universal Pictures,8,1,3,Action,The Bourne Ultimatum
Other,6,2,3,Adventure,Kung Fu Panda
Other,7,2,3,Science Fiction,Ant-Man
Lionsgate,11,2,4,Adventure,The Hunger Games: Catching Fire
Twentieth Century Fox Film Corporation,3,2,2,Fantasy,Home
Paramount Pictures,6,2,3,Adventure,War of the Worlds
Columbia Pictures,7,2,2,Adventure,Bad Boys II
Other,10,2,3,Action,Puss in Boots
Columbia Pictures,7,1,2,Action,Salt
Paramount Pictures,3,2,2,Drama,Noah
Paramount Pictures,10,2,2,Adventure,The Adventures of Tintin
Other,5,2,5,Adventure,Harry Potter and the Prisoner of Azkaban
Other,11,2,1,Drama,Australia
Columbia Pictures,5,2,2,Science Fiction,After Earth
